building_id,total_price
X5gsdTWGS3W7JJQB,-534012.0366675348
BTshNOJyKHnT2YIT,-35333.33967419913
dhdymr0lV8N5kZOT,38171.670241026375
VEwyGGMcD56w5BOc,-528534.8484034056
wmUeMoJZfsqaSX9b,-15957.692867372818
EtBjGAHmHCe9t7TZ,5290.818060527396
hPNH34vmaZtvBtqc,-68512.95961749807
wXjeI38bYDMJJwZC,-255533.1626286944
fxZSGX6aPAFKU8W4,-1682.6891506760874
ewr0Fx6ign87OwaV,-329225.0634664478
gHKurnEP4AowzsLg,-42222.475892598384
PmLfTgY2FElLrTl0,-148505.13676842695
eM2NppIOwzW0o8iy,-12223.410097752223
dxxwNun97NH4WTrZ,-170389.1684513172
jykBfhh3vdeFUi3H,6239.085831586578
NlXbvdFfmJZf3L18,-346927.4169963196
D7jaFWHCzSqLBwdt,-24154.320806719108
L10dBBdqGmemweSl,-123717.09528585126
OgB0AdiPKlElakKN,-16054.867730410542
StiWNN1GQrpPBOYt,-87304.20815207408
a016eMAVQKnfwMnt,-629918.9112327886
gsCFcQHnOH3AKMcZ,-211066.22581747823
IbNsDXfsPwSuFpow,-117296.64343873231
EgAVWOVxD1Jy5YkE,-48616.85513323423
BrKghvR76XdbQPnx,-53130.48922601422
a7fxkXTnUGWHUmKG,-192947.60513616333
WgzXa170DfpzpURE,-311124.17882140627
JPWqZbLq0VNC0yKI,-504009.9554039117
JQgTtbVstqFZwEK1,-23229.93953047319
bCSDbEthlS3nSIor,-87097.14666039769
Eg8c7ZRbL0gyAEAb,-43771.22668731377
zsFOujpX1WUIkeMD,-33754.70229004712
jEvQfHD89c14eFJj,-99793.25628852958
bU45TrRjtoRJpiOl,-121843.32925815643
YLKpsew5dW75vksT,2393.549135695748
hZ1FFAGWfwM7Q5qr,-116697.13767011404
uAE5aaysJhyG8lRW,-85815.1121411835
qxNpqoav46ab8aX0,143628.68640104675
tw5gw9arRECzmh5o,107022.23888866826
yn4pyBYVb1GcpQ1T,-6240.34750654456
bE4xwsO642wMGDiH,13651206.19565682
aahqDoaTCZYPUnYs,-131844.58411492928
YV43AlJLyiYsBy7N,-648988.0819589646
XUoZvwp3G5Uqr6es,-118485.69645067009
xtfOOyS24DmebcrG,-303399.29582929733
kHySzvJu1pAOGGr8,-150093.72086974574
SJLj6Ars5P1fN8uS,-336566.562798914
R9A8BJ65VWVztrwJ,133603.37882004748
CVz3pN9nF05lPP5u,-35816.85632795346
vvgK6NlGq4dXvuOQ,7988.982680388266
C1h2FivTfEeJpv15,-394304.966657277
N2z4leXPR8YG1qOe,-75616.73256725534
sag3ekvoyZCZgkfV,-97742.30276797156
Uk5ex47eeWALNICk,-154371.24288610282
vAl9UtIB6CJkKDqG,-357681.8353827964
hnYkYGw5QAKE4mKe,-48115.585524572045
dGDaCQGvz1JFUpFs,-128923.82007840954
O5Hw3gWy8trecv9H,-389099.98889688036
tMEj7u0YNW1xuLxf,-33139.50585015938
rcPOpyDivowJQm5A,-15193.328691822577
FB5zv79bd6nHV1It,-42853.17620952918
SjqLJfNVstz2Vt0Z,-151522.4227820593
uv27X0eFKdbSphM7,-382335.3873377843
yVbxVL3euuIqmo7V,-122670.10575474301
VvwRRzQcDprObjXd,-118644.32879488466
j1eSrtTGv0lNjzBU,-526725.7461956328
UboKsiWuyCQXXIsA,-21774.224997148987
R3LK3b1cYHJDoS7T,-26976.897432567795
ii5gSN8z6AOorjQs,42373.994230968296
iFtImxGUUlXbkD9b,115178.19538405836
W4cY4JyAXjYXY1tF,-14419.149326239703
HM9qAA76VLEkoqyU,-387224.36372835725
fX3cUCjz6wSjn6N5,-266270.253672448
U7whXhR0NtRb2VTK,-33590.3474119016
VP1NDCBMrjip2Bnd,-229675.12929509018
SOZVhFbbbVloA5qP,-117208.55171581762
pJS9qvsg4qskb1P9,759262.2366075416
Rfg7BpDZLZd445AX,-26454.531341660007
olfnSSZRvyQuIxaI,-700865.4503555157
x61xqhi8kwd9xmmN,-166671.93862025338
ejGoSLE9isKffLmw,160497.1334995069
Vx7bSFwMnNMCx9oB,-69619.12512289394
S9TXbscnO5DoawSU,-19547.06095496713
WdVARdRcN8x7AK1d,-112784.44948758377
pStv2kkxELhBBK2G,-22807.050148801918
LPJuTqqcd2bQpaQk,210837.432210712
CjKHQBAnor8AP2eB,-236012.13482893485
PIo9FQYkpDvE32Cw,-298332.03360869875
Q8dFQs5lhVAiEJTE,-62759.71616003608
GVWNfdARZFl4J5Wx,-4351.168743678814
yfvg6l0mtujabRT0,259040.16690915375
PVAuCtLbP23qr2zL,-226206.0177450126
iwJrgniIhfPTCTmt,-49596.99094532754
tvGpSGlGKclWmFYm,-201489.5214902381
Ak8AvJmjEw3jSzPD,-23736.8234713132
z2CovcitJJmVZFvU,-224321.8989894137
XCs3JK6zTfApKRQq,-316127.1019189088
ycrEEXCVOZ2VFtDj,-14999.739338954572
MheS1bq7OcDGJ05M,-26429.54541938391
pAlE5srDfK8zDu8o,200744.94359937485
ObAaFE67g31BlRpo,-188050.6070778624
uX03fWvPUQI1k24X,383957.48131118936
qYtmXmJZcCxsYR16,-78020.93552750861
xOpEoO94sMg0pmgK,-144435.40469635383
WOqQh2t52P3sHypx,-128169.55911579836
zSOQn8ONXwfK1YMz,-69474.96596287137
wErmbQpjJ0KXYt3g,-12004.026562107396
PZkZQcO1joCaJu4m,-23828.377855883926
qQsKdbjFMUCiKncB,-115281.435128898
VGsTcb8wMZWT5UjC,-199583.3108492428
kzk36KgPb6OHgRGQ,534724.7438552903
wv16qReSoCwACjGq,352714.52158806066
CqnauNV66YHe1gks,15081.838064649413
oEXDouE9eVB5K8T0,-74717.6473728568
lQtwWVt7IM3E2gLv,-1000495.2714848202
C1tDWNNe6GWNzjxF,423669.0455524441
hPQk6g6q96fEA6qf,-45301.951227003854
z8DrddTDmE9edR3g,-7662.33058381582
HUJHDhbsEKjDU375,-241746.26498481954
HCvpwrAaIz1gj9vB,41677.76036582305
uxdQDOZMTkgMXF87,-748818.62478389
E0gBmfDjtixwUA0k,37179.00087809497
IkZq7qHsY3vSSwcR,-25980.027858388166
WR60rAEhGqmpGGPQ,-162566.49151550184
QNiCWRVsm0DOcqkc,-323803.65756419767
qFavghdEze2w15he,96005.35602277271
sZl3Xo0wUvZqHF95,-26918.724261272713
u1ABCsLuOqw7xeSg,94618.17980339515
JrPbCAZvRUc1oIqh,-353707.3263623849
yn5Kp6YGrksLtWaR,-31446.40930900692
sDbbvPTKNYvnkBEP,-24273.39410567061
QgT6Z9Min017dB2H,-23682.462611798306
WKx1rO3DeALb6HGl,-150213.9424205209
ByxhTXwxWIzViLVM,-13178.882081346157
yXEw1aQQMhSrxqSR,-132151.91593566927
slnIW7o6rSjiHBTo,-179749.7274659974
TS475FK6SbqORxRf,-109972.24292669042
cnK6gMaFxsDO9UyT,-20843.09586919047
MrPuFIhhBsGLWG6j,46278.859006088795
z5r0q3mS6g4AdXmz,-11545.158859406947
Xsn2nvFborqzWEDy,-39554.15606167588
Eg79yeZBAFgZzKmd,-93788.81860093301
hXBEiDoNgbjADWN3,-137150.87815491785
qLDW5vb8gODBBvrP,-45310.95374884169
ZdlblPDUtFcPzPVG,1060.65095019822
JQjuVCoV1cMPIlE8,26771.61808684093
kEXBTA7suwUCFuDy,78435.72834971169
aCNZPpPNGfirFbiq,-98315.0933691801
YBDD94i8AhJFvNTX,-22468.95401721235
q7uATN6vpk4oQd7Z,-53367.77034996862
gguJ9pV2OYi3Jk0q,-92490.84725484287
QTSwKBCSHsVJ98Qs,-90378.26472371985
xBjTFMnuysBHgGwy,-17695.267166836173
ZifOqSywxPB5pOc9,-288703.7297265749
fKmpn4H3GLyD2PUy,-3804.2347347706263
h2nph9dHHWa0J6fb,-23871.86062344574
ZmcP061oB7pLvwWI,3615.899169943851
HhAGxXznlCCHBLRq,-1366.996016801851
WairBGJvbWqBhyfr,-119866.82954680655
am6VBxbgo9B6nEi2,-165710.39497036752
